Addr,Block,CFO_100ppm,D_cm,LAoA_deg,LFoM,LPDoA_deg,RAoA_deg,Session Stopped,Status
0x0001,0,,,,,,,,Err
0x0002,0,239,96,0.0,0,0.0,0.0,,Ok
0x0001,1,,,,,,,,Err
0x0002,1,660,127,0.0,0,0.0,0.0,,Ok
0x0001,2,,,,,,,,Err
0x0002,2,675,91,0.0,0,0.0,0.0,,Ok
0x0001,3,,,,,,,,Err
0x0002,3,685,129,0.0,0,0.0,0.0,,Ok
0x0001,4,,,,,,,,Err
0x0002,4,698,122,0.0,0,0.0,0.0,,Ok
0x0001,5,,,,,,,,Err
0x0002,5,686,120,0.0,0,0.0,0.0,,Ok
0x0001,6,,,,,,,,Err
0x0002,6,703,126,0.0,0,0.0,0.0,,Ok
0x0001,7,,,,,,,,Err
0x0002,7,514,119,0.0,0,0.0,0.0,,Ok
0x0001,8,,,,,,,,Err
0x0002,8,570,126,0.0,0,0.0,0.0,,Ok
0x0001,9,,,,,,,,Err
0x0002,9,581,117,0.0,0,0.0,0.0,,Ok
0x0001,10,,,,,,,,Err
0x0002,10,600,126,0.0,0,0.0,0.0,,Ok
0x0001,11,,,,,,,,Err
0x0002,11,564,121,0.0,0,0.0,0.0,,Ok
0x0001,12,,,,,,,,Err
0x0002,12,566,122,0.0,0,0.0,0.0,,Ok
0x0001,13,,,,,,,,Err
0x0002,13,558,121,0.0,0,0.0,0.0,,Ok
0x0001,14,,,,,,,,Err
0x0002,14,590,115,0.0,0,0.0,0.0,,Ok
0x0001,15,,,,,,,,Err
0x0002,15,615,117,0.0,0,0.0,0.0,,Ok
0x0001,16,,,,,,,,Err
0x0002,16,570,129,0.0,0,0.0,0.0,,Ok
0x0001,17,,,,,,,,Err
0x0002,17,603,123,0.0,0,0.0,0.0,,Ok
0x0001,18,,,,,,,,Err
0x0002,18,582,121,0.0,0,0.0,0.0,,Ok
0x0001,19,,,,,,,,Err
0x0002,19,582,114,0.0,0,0.0,0.0,,Ok
0x0001,20,,,,,,,,Err
0x0002,20,596,118,0.0,0,0.0,0.0,,Ok
0x0001,21,,,,,,,,Err
0x0002,21,588,127,0.0,0,0.0,0.0,,Ok
0x0001,22,,,,,,,,Err
0x0002,22,591,92,0.0,0,0.0,0.0,,Ok
0x0001,23,,,,,,,,Err
0x0002,23,593,119,0.0,0,0.0,0.0,,Ok
0x0001,24,,,,,,,,Err
0x0002,24,566,122,0.0,0,0.0,0.0,,Ok
0x0001,25,,,,,,,,Err
0x0002,25,585,135,0.0,0,0.0,0.0,,Ok
0x0001,26,,,,,,,,Err
0x0002,26,590,124,0.0,0,0.0,0.0,,Ok
0x0001,27,,,,,,,,Err
0x0002,27,602,122,0.0,0,0.0,0.0,,Ok
0x0001,28,,,,,,,,Err
0x0002,28,606,130,0.0,0,0.0,0.0,,Ok
0x0001,29,,,,,,,,Err
0x0002,29,597,124,0.0,0,0.0,0.0,,Ok
0x0001,30,,,,,,,,Err
0x0002,30,588,125,0.0,0,0.0,0.0,,Ok
0x0001,31,,,,,,,,Err
0x0002,31,604,122,0.0,0,0.0,0.0,,Ok
0x0001,32,,,,,,,,Err
0x0002,32,584,127,0.0,0,0.0,0.0,,Ok
0x0001,33,,,,,,,,Err
0x0002,33,591,127,0.0,0,0.0,0.0,,Ok
0x0001,34,,,,,,,,Err
0x0002,34,590,132,0.0,0,0.0,0.0,,Ok
0x0001,35,,,,,,,,Err
0x0002,35,579,136,0.0,0,0.0,0.0,,Ok
0x0001,36,,,,,,,,Err
0x0002,36,593,128,0.0,0,0.0,0.0,,Ok
0x0001,37,,,,,,,,Err
0x0002,37,613,142,0.0,0,0.0,0.0,,Ok
0x0001,38,,,,,,,,Err
0x0002,38,584,138,0.0,0,0.0,0.0,,Ok
0x0001,39,,,,,,,,Err
0x0002,39,588,141,0.0,0,0.0,0.0,,Ok
0x0001,40,,,,,,,,Err
0x0002,40,619,133,0.0,0,0.0,0.0,,Ok
0x0001,41,,,,,,,,Err
0x0002,41,597,136,0.0,0,0.0,0.0,,Ok
0x0001,42,,,,,,,,Err
0x0002,42,591,136,0.0,0,0.0,0.0,,Ok
0x0001,43,,,,,,,,Err
0x0002,43,615,141,0.0,0,0.0,0.0,,Ok
0x0001,44,,,,,,,,Err
0x0002,44,590,137,0.0,0,0.0,0.0,,Ok
0x0001,45,,,,,,,,Err
0x0002,45,585,141,0.0,0,0.0,0.0,,Ok
0x0001,46,,,,,,,,Err
0x0002,46,606,135,0.0,0,0.0,0.0,,Ok
0x0001,47,,,,,,,,Err
0x0002,47,606,135,0.0,0,0.0,0.0,,Ok
0x0001,48,,,,,,,,Err
0x0002,48,602,137,0.0,0,0.0,0.0,,Ok
0x0001,49,,,,,,,,Err
0x0002,49,604,81,0.0,0,0.0,0.0,,Ok
0x0001,50,,,,,,,,Err
0x0002,50,604,136,0.0,0,0.0,0.0,,Ok
0x0001,51,,,,,,,,Err
0x0002,51,606,134,0.0,0,0.0,0.0,,Ok
0x0001,52,,,,,,,,Err
0x0002,52,616,90,0.0,0,0.0,0.0,,Ok
0x0001,53,,,,,,,,Err
0x0002,53,603,138,0.0,0,0.0,0.0,,Ok
0x0001,54,,,,,,,,Err
0x0002,54,604,122,0.0,0,0.0,0.0,,Ok
0x0001,55,,,,,,,,Err
0x0002,55,593,50,0.0,0,0.0,0.0,,Ok
0x0001,56,,,,,,,,Err
0x0002,56,597,124,0.0,0,0.0,0.0,,Ok
0x0001,57,,,,,,,,Err
0x0002,57,597,123,0.0,0,0.0,0.0,,Ok
0x0001,58,,,,,,,,Err
0x0002,58,607,89,0.0,0,0.0,0.0,,Ok
0x0001,59,,,,,,,,Err
0x0002,59,616,102,0.0,0,0.0,0.0,,Ok
0x0001,60,,,,,,,,Err
0x0002,60,610,99,0.0,0,0.0,0.0,,Ok
0x0001,61,,,,,,,,Err
0x0002,61,607,137,0.0,0,0.0,0.0,,Ok
0x0001,62,,,,,,,,Err
0x0002,62,602,90,0.0,0,0.0,0.0,,Ok
0x0001,63,,,,,,,,Err
0x0002,63,602,52,0.0,0,0.0,0.0,,Ok
0x0001,64,,,,,,,,Err
0x0002,64,603,71,0.0,0,0.0,0.0,,Ok
0x0001,65,,,,,,,,Err
0x0002,65,607,143,0.0,0,0.0,0.0,,Ok
0x0001,66,,,,,,,,Err
0x0002,66,588,88,0.0,0,0.0,0.0,,Ok
0x0001,67,,,,,,,,Err
0x0002,67,612,55,0.0,0,0.0,0.0,,Ok
0x0001,68,,,,,,,,Err
0x0002,68,616,38,0.0,0,0.0,0.0,,Ok
0x0001,69,,,,,,,,Err
0x0002,69,588,38,0.0,0,0.0,0.0,,Ok
0x0001,70,,,,,,,,Err
0x0002,70,633,44,0.0,0,0.0,0.0,,Ok
0x0001,71,,,,,,,,Err
0x0002,71,603,34,0.0,0,0.0,0.0,,Ok
0x0001,72,,,,,,,,Err
0x0002,72,622,85,0.0,0,0.0,0.0,,Ok
0x0001,73,,,,,,,,Err
0x0002,73,602,51,0.0,0,0.0,0.0,,Ok
0x0001,74,,,,,,,,Err
0x0002,74,609,84,0.0,0,0.0,0.0,,Ok
0x0001,75,,,,,,,,Err
0x0002,75,609,33,0.0,0,0.0,0.0,,Ok
0x0001,76,,,,,,,,Err
0x0002,76,610,58,0.0,0,0.0,0.0,,Ok
0x0001,77,,,,,,,,Err
0x0002,77,604,142,0.0,0,0.0,0.0,,Ok
0x0001,78,,,,,,,,Err
0x0002,78,599,49,0.0,0,0.0,0.0,,Ok
0x0001,79,,,,,,,,Err
0x0002,79,603,60,0.0,0,0.0,0.0,,Ok
0x0001,80,,,,,,,,Err
0x0002,80,603,64,0.0,0,0.0,0.0,,Ok
0x0001,81,,,,,,,,Err
0x0002,81,619,130,0.0,0,0.0,0.0,,Ok
0x0001,82,,,,,,,,Err
0x0002,82,630,142,0.0,0,0.0,0.0,,Ok
0x0001,83,,,,,,,,Err
0x0002,83,639,111,0.0,0,0.0,0.0,,Ok
0x0001,84,,,,,,,,Err
0x0002,84,630,90,0.0,0,0.0,0.0,,Ok
0x0001,85,,,,,,,,Err
0x0002,85,604,115,0.0,0,0.0,0.0,,Ok
0x0001,86,,,,,,,,Err
0x0002,86,615,93,0.0,0,0.0,0.0,,Ok
0x0001,87,,,,,,,,Err
0x0002,87,615,135,0.0,0,0.0,0.0,,Ok
0x0001,88,,,,,,,,Err
0x0002,88,615,133,0.0,0,0.0,0.0,,Ok
0x0001,89,,,,,,,,Err
0x0002,89,615,117,0.0,0,0.0,0.0,,Ok
0x0001,90,,,,,,,,Err
0x0002,90,604,134,0.0,0,0.0,0.0,,Ok
0x0001,91,,,,,,,,Err
0x0002,91,637,137,0.0,0,0.0,0.0,,Ok
0x0001,92,,,,,,,,Err
0x0002,92,604,133,0.0,0,0.0,0.0,,Ok
0x0001,93,,,,,,,,Err
0x0002,93,597,135,0.0,0,0.0,0.0,,Ok
0x0001,94,,,,,,,,Err
0x0002,94,603,136,0.0,0,0.0,0.0,,Ok
0x0001,95,,,,,,,,Err
0x0002,95,604,85,0.0,0,0.0,0.0,,Ok
0x0001,96,,,,,,,,Err
0x0002,96,615,106,0.0,0,0.0,0.0,,Ok
0x0001,97,,,,,,,,Err
0x0002,97,628,60,0.0,0,0.0,0.0,,Ok
0x0001,98,,,,,,,,Err
0x0002,98,597,65,0.0,0,0.0,0.0,,Ok
0x0001,99,,,,,,,,Err
0x0002,99,613,67,0.0,0,0.0,0.0,,Ok
0x0001,100,,,,,,,,Err
0x0002,100,625,86,0.0,0,0.0,0.0,,Ok
0x0001,101,,,,,,,,Err
0x0002,101,593,83,0.0,0,0.0,0.0,,Ok
0x0001,102,,,,,,,,Err
0x0002,102,602,95,0.0,0,0.0,0.0,,Ok
0x0001,103,,,,,,,,Err
0x0002,103,607,78,0.0,0,0.0,0.0,,Ok
0x0001,104,,,,,,,,Err
0x0002,104,621,67,0.0,0,0.0,0.0,,Ok
0x0001,105,,,,,,,,Err
0x0002,105,602,100,0.0,0,0.0,0.0,,Ok
0x0001,106,,,,,,,,Err
0x0002,106,610,57,0.0,0,0.0,0.0,,Ok
0x0001,107,,,,,,,,Err
0x0002,107,628,52,0.0,0,0.0,0.0,,Ok
0x0001,108,,,,,,,,Err
0x0002,108,603,101,0.0,0,0.0,0.0,,Ok
0x0001,109,,,,,,,,Err
0x0002,109,639,145,0.0,0,0.0,0.0,,Ok
0x0001,110,,,,,,,,Err
0x0002,110,628,145,0.0,0,0.0,0.0,,Ok
0x0001,111,,,,,,,,Err
0x0002,111,627,142,0.0,0,0.0,0.0,,Ok
0x0001,112,,,,,,,,Err
0x0002,112,602,143,0.0,0,0.0,0.0,,Ok
0x0001,113,,,,,,,,Err
0x0002,113,628,102,0.0,0,0.0,0.0,,Ok
0x0001,114,,,,,,,,Err
0x0002,114,619,50,0.0,0,0.0,0.0,,Ok
0x0001,115,,,,,,,,Err
0x0002,115,618,51,0.0,0,0.0,0.0,,Ok
0x0001,116,,,,,,,,Err
0x0002,116,636,47,0.0,0,0.0,0.0,,Ok
0x0001,117,,,,,,,,Err
0x0002,117,610,37,0.0,0,0.0,0.0,,Ok
0x0001,118,,,,,,,,Err
0x0002,118,625,33,0.0,0,0.0,0.0,,Ok
0x0001,119,,,,,,,,Err
0x0002,119,610,40,0.0,0,0.0,0.0,,Ok
0x0001,120,,,,,,,,Err
0x0002,120,622,56,0.0,0,0.0,0.0,,Ok
0x0001,121,,,,,,,,Err
0x0002,121,622,90,0.0,0,0.0,0.0,,Ok
0x0001,122,,,,,,,,Err
0x0002,122,619,117,0.0,0,0.0,0.0,,Ok
0x0001,123,,,,,,,,Err
0x0002,123,602,108,0.0,0,0.0,0.0,,Ok
0x0001,124,,,,,,,,Err
0x0002,124,625,90,0.0,0,0.0,0.0,,Ok
0x0001,125,,,,,,,,Err
0x0002,125,625,135,0.0,0,0.0,0.0,,Ok
0x0001,126,,,,,,,,Err
0x0002,126,606,125,0.0,0,0.0,0.0,,Ok
0x0001,127,,,,,,,,Err
0x0002,127,630,133,0.0,0,0.0,0.0,,Ok
0x0001,128,,,,,,,,Err
0x0002,128,624,121,0.0,0,0.0,0.0,,Ok
0x0001,129,,,,,,,,Err
0x0002,129,610,90,0.0,0,0.0,0.0,,Ok
0x0001,130,,,,,,,,Err
0x0002,130,621,34,0.0,0,0.0,0.0,,Ok
0x0001,131,,,,,,,,Err
0x0002,131,622,31,0.0,0,0.0,0.0,,Ok
0x0001,132,,,,,,,,Err
0x0002,132,625,33,0.0,0,0.0,0.0,,Ok
0x0001,133,,,,,,,,Err
0x0002,133,621,41,0.0,0,0.0,0.0,,Ok
0x0001,134,,,,,,,,Err
0x0002,134,619,41,0.0,0,0.0,0.0,,Ok
0x0001,135,,,,,,,,Err
0x0002,135,618,41,0.0,0,0.0,0.0,,Ok
0x0001,136,,,,,,,,Err
0x0002,136,613,74,0.0,0,0.0,0.0,,Ok
0x0001,137,,,,,,,,Err
0x0002,137,639,38,0.0,0,0.0,0.0,,Ok
0x0001,138,,,,,,,,Err
0x0002,138,631,37,0.0,0,0.0,0.0,,Ok
0x0001,139,,,,,,,,Err
0x0002,139,621,35,0.0,0,0.0,0.0,,Ok
0x0001,140,,,,,,,,Err
0x0002,140,619,72,0.0,0,0.0,0.0,,Ok
0x0001,141,,,,,,,,Err
0x0002,141,621,37,0.0,0,0.0,0.0,,Ok
0x0001,142,,,,,,,,Err
0x0002,142,642,40,0.0,0,0.0,0.0,,Ok
0x0001,143,,,,,,,,Err
0x0002,143,637,47,0.0,0,0.0,0.0,,Ok
0x0001,144,,,,,,,,Err
0x0002,144,639,83,0.0,0,0.0,0.0,,Ok
0x0001,145,,,,,,,,Err
0x0002,145,633,45,0.0,0,0.0,0.0,,Ok
0x0001,146,,,,,,,,Err
0x0002,146,624,136,0.0,0,0.0,0.0,,Ok
0x0001,147,,,,,,,,Err
0x0002,147,627,98,0.0,0,0.0,0.0,,Ok
0x0001,148,,,,,,,,Err
