Addr,Block,CFO_100ppm,D_cm,LAoA_deg,LFoM,LPDoA_deg,RAoA_deg,Session Stopped,Status
0x0001,0,,,,,,,,Err
0x0002,0,549,298,0.0,0,0.0,0.0,,Ok
0x0001,1,,,,,,,,Err
0x0002,1,579,266,0.0,0,0.0,0.0,,Ok
0x0001,2,,,,,,,,Err
0x0002,2,581,258,0.0,0,0.0,0.0,,Ok
0x0001,3,,,,,,,,Err
0x0002,3,573,256,0.0,0,0.0,0.0,,Ok
0x0001,4,,,,,,,,Err
0x0002,4,593,326,0.0,0,0.0,0.0,,Ok
0x0001,5,,,,,,,,Err
0x0002,5,569,291,0.0,0,0.0,0.0,,Ok
0x0001,6,,,,,,,,Err
0x0002,6,575,269,0.0,0,0.0,0.0,,Ok
0x0001,7,,,,,,,,Err
0x0002,7,587,269,0.0,0,0.0,0.0,,Ok
0x0001,8,,,,,,,,Err
0x0002,8,594,269,0.0,0,0.0,0.0,,Ok
0x0001,9,,,,,,,,Err
0x0002,9,579,264,0.0,0,0.0,0.0,,Ok
0x0001,10,,,,,,,,Err
0x0002,10,591,265,0.0,0,0.0,0.0,,Ok
0x0001,11,,,,,,,,Err
0x0002,11,593,267,0.0,0,0.0,0.0,,Ok
0x0001,12,,,,,,,,Err
0x0002,12,566,266,0.0,0,0.0,0.0,,Ok
0x0001,13,,,,,,,,Err
0x0002,13,593,265,0.0,0,0.0,0.0,,Ok
0x0001,14,,,,,,,,Err
0x0002,14,575,267,0.0,0,0.0,0.0,,Ok
0x0001,15,,,,,,,,Err
0x0002,15,564,268,0.0,0,0.0,0.0,,Ok
0x0001,16,,,,,,,,Err
0x0002,16,584,264,0.0,0,0.0,0.0,,Ok
0x0001,17,,,,,,,,Err
0x0002,17,579,264,0.0,0,0.0,0.0,,Ok
0x0001,18,,,,,,,,Err
0x0002,18,597,268,0.0,0,0.0,0.0,,Ok
0x0001,19,,,,,,,,Err
0x0002,19,594,264,0.0,0,0.0,0.0,,Ok
0x0001,20,,,,,,,,Err
0x0002,20,579,263,0.0,0,0.0,0.0,,Ok
0x0001,21,,,,,,,,Err
0x0002,21,573,264,0.0,0,0.0,0.0,,Ok
0x0001,22,,,,,,,,Err
0x0002,22,593,263,0.0,0,0.0,0.0,,Ok
0x0001,23,,,,,,,,Err
0x0002,23,610,263,0.0,0,0.0,0.0,,Ok
0x0001,24,,,,,,,,Err
0x0002,24,609,260,0.0,0,0.0,0.0,,Ok
0x0001,25,,,,,,,,Err
0x0002,25,573,263,0.0,0,0.0,0.0,,Ok
0x0001,26,,,,,,,,Err
