Addr,Block,CFO_100ppm,D_cm,LAoA_deg,LFoM,LPDoA_deg,RAoA_deg,Session Stopped,Status
0x0001,0,,,,,,,,Err
0x0002,0,694,62,0.0,0,0.0,0.0,,Ok
0x0001,1,,,,,,,,Err
0x0002,1,675,67,0.0,0,0.0,0.0,,Ok
0x0001,2,,,,,,,,Err
0x0002,2,703,65,0.0,0,0.0,0.0,,Ok
0x0001,3,,,,,,,,Err
0x0002,3,689,68,0.0,0,0.0,0.0,,Ok
0x0001,4,,,,,,,,Err
0x0002,4,686,63,0.0,0,0.0,0.0,,Ok
0x0001,5,,,,,,,,Err
0x0002,5,710,65,0.0,0,0.0,0.0,,Ok
0x0001,6,,,,,,,,Err
0x0002,6,490,66,0.0,0,0.0,0.0,,Ok
0x0001,7,,,,,,,,Err
0x0002,7,-125,65,0.0,0,0.0,0.0,,Ok
0x0001,8,,,,,,,,Err
0x0002,8,-113,62,0.0,0,0.0,0.0,,Ok
0x0001,9,,,,,,,,Err
0x0002,9,-107,65,0.0,0,0.0,0.0,,Ok
0x0001,10,,,,,,,,Err
0x0002,10,-105,68,0.0,0,0.0,0.0,,Ok
0x0001,11,,,,,,,,Err
0x0002,11,-107,66,0.0,0,0.0,0.0,,Ok
0x0001,12,,,,,,,,Err
0x0002,12,-129,65,0.0,0,0.0,0.0,,Ok
0x0001,13,,,,,,,,Err
0x0002,13,-126,67,0.0,0,0.0,0.0,,Ok
0x0001,14,,,,,,,,Err
0x0002,14,-98,65,0.0,0,0.0,0.0,,Ok
0x0001,15,,,,,,,,Err
0x0002,15,-105,65,0.0,0,0.0,0.0,,Ok
0x0001,16,,,,,,,,Err
0x0002,16,-84,64,0.0,0,0.0,0.0,,Ok
0x0001,17,,,,,,,,Err
0x0002,17,-113,65,0.0,0,0.0,0.0,,Ok
0x0001,18,,,,,,,,Err
0x0002,18,-111,65,0.0,0,0.0,0.0,,Ok
0x0001,19,,,,,,,,Err
0x0002,19,-111,64,0.0,0,0.0,0.0,,Ok
0x0001,20,,,,,,,,Err
0x0002,20,-93,67,0.0,0,0.0,0.0,,Ok
0x0001,21,,,,,,,,Err
0x0002,21,-108,65,0.0,0,0.0,0.0,,Ok
0x0001,22,,,,,,,,Err
0x0002,22,-108,67,0.0,0,0.0,0.0,,Ok
0x0001,23,,,,,,,,Err
0x0002,23,-80,67,0.0,0,0.0,0.0,,Ok
0x0001,24,,,,,,,,Err
0x0002,24,-104,67,0.0,0,0.0,0.0,,Ok
0x0001,25,,,,,,,,Err
0x0002,25,-125,70,0.0,0,0.0,0.0,,Ok
0x0001,26,,,,,,,,Err
0x0002,26,-84,68,0.0,0,0.0,0.0,,Ok
0x0001,27,,,,,,,,Err
0x0002,27,-105,67,0.0,0,0.0,0.0,,Ok
0x0001,28,,,,,,,,Err
0x0002,28,-122,68,0.0,0,0.0,0.0,,Ok
0x0001,29,,,,,,,,Err
0x0002,29,-84,65,0.0,0,0.0,0.0,,Ok
0x0001,30,,,,,,,,Err
0x0002,30,-114,67,0.0,0,0.0,0.0,,Ok
0x0001,31,,,,,,,,Err
0x0002,31,-105,67,0.0,0,0.0,0.0,,Ok
0x0001,32,,,,,,,,Err
0x0002,32,-84,63,0.0,0,0.0,0.0,,Ok
0x0001,33,,,,,,,,Err
0x0002,33,-93,65,0.0,0,0.0,0.0,,Ok
0x0001,34,,,,,,,,Err
0x0002,34,-113,70,0.0,0,0.0,0.0,,Ok
0x0001,35,,,,,,,,Err
0x0002,35,-96,68,0.0,0,0.0,0.0,,Ok
0x0001,36,,,,,,,,Err
0x0002,36,-101,67,0.0,0,0.0,0.0,,Ok
0x0001,37,,,,,,,,Err
0x0002,37,-95,68,0.0,0,0.0,0.0,,Ok
0x0001,38,,,,,,,,Err
0x0002,38,-114,67,0.0,0,0.0,0.0,,Ok
0x0001,39,,,,,,,,Err
0x0002,39,-102,69,0.0,0,0.0,0.0,,Ok
0x0001,40,,,,,,,,Err
0x0002,40,-113,67,0.0,0,0.0,0.0,,Ok
0x0001,41,,,,,,,,Err
0x0002,41,-93,68,0.0,0,0.0,0.0,,Ok
0x0001,42,,,,,,,,Err
0x0002,42,-93,67,0.0,0,0.0,0.0,,Ok
0x0001,43,,,,,,,,Err
0x0002,43,-89,65,0.0,0,0.0,0.0,,Ok
0x0001,44,,,,,,,,Err
0x0002,44,-102,68,0.0,0,0.0,0.0,,Ok
0x0001,45,,,,,,,,Err
0x0002,45,-93,68,0.0,0,0.0,0.0,,Ok
0x0001,46,,,,,,,,Err
0x0002,46,-104,64,0.0,0,0.0,0.0,,Ok
0x0001,47,,,,,,,,Err
0x0002,47,-126,66,0.0,0,0.0,0.0,,Ok
0x0001,48,,,,,,,,Err
0x0002,48,-90,67,0.0,0,0.0,0.0,,Ok
0x0001,49,,,,,,,,Err
