Addr,Block,CFO_100ppm,D_cm,LAoA_deg,LFoM,LPDoA_deg,RAoA_deg,Session Stopped,Status
0x0001,0,,,,,,,,Err
0x0002,0,546,279,0.0,0,0.0,0.0,,Ok
0x0001,1,,,,,,,,Err
0x0002,1,610,292,0.0,0,0.0,0.0,,Ok
0x0001,2,,,,,,,,Err
0x0002,2,609,263,0.0,0,0.0,0.0,,Ok
0x0001,3,,,,,,,,Err
0x0002,3,603,283,0.0,0,0.0,0.0,,Ok
0x0001,4,,,,,,,,Err
0x0002,4,613,330,0.0,0,0.0,0.0,,Ok
0x0001,5,,,,,,,,Err
0x0002,5,606,272,0.0,0,0.0,0.0,,Ok
0x0001,6,,,,,,,,Err
0x0002,6,609,267,0.0,0,0.0,0.0,,Ok
0x0001,7,,,,,,,,Err
0x0002,7,604,268,0.0,0,0.0,0.0,,Ok
0x0001,8,,,,,,,,Err
0x0002,8,624,279,0.0,0,0.0,0.0,,Ok
0x0001,9,,,,,,,,Err
0x0002,9,599,377,0.0,0,0.0,0.0,,Ok
0x0001,10,,,,,,,,Err
0x0002,10,584,310,0.0,0,0.0,0.0,,Ok
0x0001,11,,,,,,,,Err
0x0002,11,615,282,0.0,0,0.0,0.0,,Ok
0x0001,12,,,,,,,,Err
0x0002,12,613,290,0.0,0,0.0,0.0,,Ok
0x0001,13,,,,,,,,Err
0x0002,13,602,290,0.0,0,0.0,0.0,,Ok
0x0001,14,,,,,,,,Err
0x0002,14,621,287,0.0,0,0.0,0.0,,Ok
0x0001,15,,,,,,,,Err
0x0002,15,615,280,0.0,0,0.0,0.0,,Ok
0x0001,16,,,,,,,,Err
0x0002,16,594,276,0.0,0,0.0,0.0,,Ok
0x0001,17,,,,,,,,Err
0x0002,17,616,286,0.0,0,0.0,0.0,,Ok
0x0001,18,,,,,,,,Err
0x0002,18,597,274,0.0,0,0.0,0.0,,Ok
0x0001,19,,,,,,,,Err
0x0002,19,642,308,0.0,0,0.0,0.0,,Ok
0x0001,20,,,,,,,,Err
0x0002,20,606,289,0.0,0,0.0,0.0,,Ok
0x0001,21,,,,,,,,Err
0x0002,21,633,296,0.0,0,0.0,0.0,,Ok
0x0001,22,,,,,,,,Err
0x0002,22,600,432,0.0,0,0.0,0.0,,Ok
0x0001,23,,,,,,,,Err
0x0002,23,610,275,0.0,0,0.0,0.0,,Ok
0x0001,24,,,,,,,,Err
0x0002,24,625,277,0.0,0,0.0,0.0,,Ok
0x0001,25,,,,,,,,Err
0x0002,25,619,382,0.0,0,0.0,0.0,,Ok
0x0001,26,,,,,,,,Err
0x0002,26,625,278,0.0,0,0.0,0.0,,Ok
0x0001,27,,,,,,,,Err
0x0002,27,619,274,0.0,0,0.0,0.0,,Ok
0x0001,28,,,,,,,,Err
0x0002,28,640,374,0.0,0,0.0,0.0,,Ok
0x0001,29,,,,,,,,Err
0x0002,29,630,378,0.0,0,0.0,0.0,,Ok
0x0001,30,,,,,,,,Err
0x0002,30,609,429,0.0,0,0.0,0.0,,Ok
0x0001,31,,,,,,,,Err
0x0002,31,630,284,0.0,0,0.0,0.0,,Ok
0x0001,32,,,,,,,,Err
0x0002,32,615,383,0.0,0,0.0,0.0,,Ok
0x0001,33,,,,,,,,Err
