Addr,Block,CFO_100ppm,D_cm,LAoA_deg,LFoM,LPDoA_deg,RAoA_deg,Session Stopped,Status
0x0001,0,,,,,,,,Err
0x0002,0,636,64,0.0,0,0.0,0.0,,Ok
0x0001,1,,,,,,,,Err
0x0002,1,642,67,0.0,0,0.0,0.0,,Ok
0x0001,2,,,,,,,,Err
0x0002,2,643,63,0.0,0,0.0,0.0,,Ok
0x0001,3,,,,,,,,Err
0x0002,3,661,111,0.0,0,0.0,0.0,,Ok
0x0001,4,,,,,,,,Err
0x0002,4,685,105,0.0,0,0.0,0.0,,Ok
0x0001,5,,,,,,,,Err
0x0002,5,670,63,0.0,0,0.0,0.0,,Ok
0x0001,6,,,,,,,,Err
0x0002,6,678,64,0.0,0,0.0,0.0,,Ok
0x0001,7,,,,,,,,Err
0x0002,7,661,71,0.0,0,0.0,0.0,,Ok
0x0001,8,,,,,,,,Err
0x0002,8,639,67,0.0,0,0.0,0.0,,Ok
0x0001,9,,,,,,,,Err
0x0002,9,652,64,0.0,0,0.0,0.0,,Ok
0x0001,10,,,,,,,,Err
0x0002,10,670,84,0.0,0,0.0,0.0,,Ok
0x0001,11,,,,,,,,Err
0x0002,11,680,70,0.0,0,0.0,0.0,,Ok
0x0001,12,,,,,,,,Err
0x0002,12,657,66,0.0,0,0.0,0.0,,Ok
0x0001,13,,,,,,,,Err
0x0002,13,667,69,0.0,0,0.0,0.0,,Ok
0x0001,14,,,,,,,,Err
0x0002,14,709,68,0.0,0,0.0,0.0,,Ok
0x0001,15,,,,,,,,Err
0x0002,15,709,65,0.0,0,0.0,0.0,,Ok
0x0001,16,,,,,,,,Err
0x0002,16,561,71,0.0,0,0.0,0.0,,Ok
0x0001,17,,,,,,,,Err
0x0002,17,546,67,0.0,0,0.0,0.0,,Ok
0x0001,18,,,,,,,,Err
0x0002,18,554,69,0.0,0,0.0,0.0,,Ok
0x0001,19,,,,,,,,Err
0x0002,19,573,108,0.0,0,0.0,0.0,,Ok
0x0001,20,,,,,,,,Err
0x0002,20,575,67,0.0,0,0.0,0.0,,Ok
0x0001,21,,,,,,,,Err
0x0002,21,555,84,0.0,0,0.0,0.0,,Ok
0x0001,22,,,,,,,,Err
0x0002,22,560,63,0.0,0,0.0,0.0,,Ok
0x0001,23,,,,,,,,Err
0x0002,23,572,62,0.0,0,0.0,0.0,,Ok
0x0001,24,,,,,,,,Err
0x0002,24,551,61,0.0,0,0.0,0.0,,Ok
0x0001,25,,,,,,,,Err
0x0002,25,534,65,0.0,0,0.0,0.0,,Ok
0x0001,26,,,,,,,,Err
0x0002,26,558,68,0.0,0,0.0,0.0,,Ok
0x0001,27,,,,,,,,Err
0x0002,27,548,124,0.0,0,0.0,0.0,,Ok
0x0001,28,,,,,,,,Err
0x0002,28,543,68,0.0,0,0.0,0.0,,Ok
0x0001,29,,,,,,,,Err
0x0002,29,563,124,0.0,0,0.0,0.0,,Ok
0x0001,30,,,,,,,,Err
0x0002,30,564,63,0.0,0,0.0,0.0,,Ok
0x0001,31,,,,,,,,Err
0x0002,31,561,63,0.0,0,0.0,0.0,,Ok
0x0001,32,,,,,,,,Err
0x0002,32,563,63,0.0,0,0.0,0.0,,Ok
0x0001,33,,,,,,,,Err
0x0002,33,564,130,0.0,0,0.0,0.0,,Ok
0x0001,34,,,,,,,,Err
0x0002,34,570,125,0.0,0,0.0,0.0,,Ok
0x0001,35,,,,,,,,Err
0x0002,35,557,63,0.0,0,0.0,0.0,,Ok
0x0001,36,,,,,,,,Err
0x0002,36,576,68,0.0,0,0.0,0.0,,Ok
0x0001,37,,,,,,,,Err
0x0002,37,573,61,0.0,0,0.0,0.0,,Ok
0x0001,38,,,,,,,,Err
0x0002,38,533,65,0.0,0,0.0,0.0,,Ok
0x0001,39,,,,,,,,Err
0x0002,39,536,68,0.0,0,0.0,0.0,,Ok
0x0001,40,,,,,,,,Err
0x0002,40,555,63,0.0,0,0.0,0.0,,Ok
0x0001,41,,,,,,,,Err
0x0002,41,579,105,0.0,0,0.0,0.0,,Ok
0x0001,42,,,,,,,,Err
0x0002,42,578,100,0.0,0,0.0,0.0,,Ok
0x0001,43,,,,,,,,Err
0x0002,43,554,64,0.0,0,0.0,0.0,,Ok
0x0001,44,,,,,,,,Err
0x0002,44,546,66,0.0,0,0.0,0.0,,Ok
0x0001,45,,,,,,,,Err
0x0002,45,552,63,0.0,0,0.0,0.0,,Ok
0x0001,46,,,,,,,,Err
0x0002,46,567,64,0.0,0,0.0,0.0,,Ok
0x0001,47,,,,,,,,Err
0x0002,47,543,60,0.0,0,0.0,0.0,,Ok
0x0001,48,,,,,,,,Err
0x0002,48,566,67,0.0,0,0.0,0.0,,Ok
0x0001,49,,,,,,,,Err
0x0002,49,578,61,0.0,0,0.0,0.0,,Ok
0x0001,50,,,,,,,,Err
0x0002,50,557,65,0.0,0,0.0,0.0,,Ok
0x0001,51,,,,,,,,Err
0x0002,51,588,67,0.0,0,0.0,0.0,,Ok
0x0001,52,,,,,,,,Err
0x0002,52,572,66,0.0,0,0.0,0.0,,Ok
0x0001,53,,,,,,,,Err
0x0002,53,593,61,0.0,0,0.0,0.0,,Ok
0x0001,54,,,,,,,,Err
0x0002,54,560,64,0.0,0,0.0,0.0,,Ok
0x0001,55,,,,,,,,Err
0x0002,55,582,64,0.0,0,0.0,0.0,,Ok
0x0001,56,,,,,,,,Err
0x0002,56,570,125,0.0,0,0.0,0.0,,Ok
0x0001,57,,,,,,,,Err
0x0002,57,560,104,0.0,0,0.0,0.0,,Ok
0x0001,58,,,,,,,,Err
0x0002,58,579,123,0.0,0,0.0,0.0,,Ok
0x0001,59,,,,,,,,Err
0x0002,59,582,124,0.0,0,0.0,0.0,,Ok
0x0001,60,,,,,,,,Err
0x0002,60,599,123,0.0,0,0.0,0.0,,Ok
0x0001,61,,,,,,,,Err
0x0002,61,564,68,0.0,0,0.0,0.0,,Ok
0x0001,62,,,,,,,,Err
0x0002,62,573,67,0.0,0,0.0,0.0,,Ok
0x0001,63,,,,,,,,Err
0x0002,63,573,64,0.0,0,0.0,0.0,,Ok
0x0001,64,,,,,,,,Err
0x0002,64,551,66,0.0,0,0.0,0.0,,Ok
0x0001,65,,,,,,,,Err
0x0002,65,540,69,0.0,0,0.0,0.0,,Ok
0x0001,66,,,,,,,,Err
0x0002,66,560,67,0.0,0,0.0,0.0,,Ok
0x0001,67,,,,,,,,Err
0x0002,67,567,69,0.0,0,0.0,0.0,,Ok
0x0001,68,,,,,,,,Err
0x0002,68,567,62,0.0,0,0.0,0.0,,Ok
0x0001,69,,,,,,,,Err
0x0002,69,567,71,0.0,0,0.0,0.0,,Ok
0x0001,70,,,,,,,,Err
0x0002,70,558,68,0.0,0,0.0,0.0,,Ok
0x0001,71,,,,,,,,Err
0x0002,71,584,69,0.0,0,0.0,0.0,,Ok
0x0001,72,,,,,,,,Err
0x0002,72,549,123,0.0,0,0.0,0.0,,Ok
0x0001,73,,,,,,,,Err
0x0002,73,567,61,0.0,0,0.0,0.0,,Ok
0x0001,74,,,,,,,,Err
0x0002,74,584,68,0.0,0,0.0,0.0,,Ok
0x0001,75,,,,,,,,Err
0x0002,75,561,68,0.0,0,0.0,0.0,,Ok
0x0001,76,,,,,,,,Err
0x0002,76,575,64,0.0,0,0.0,0.0,,Ok
0x0001,77,,,,,,,,Err
0x0002,77,540,81,0.0,0,0.0,0.0,,Ok
0x0001,78,,,,,,,,Err
0x0002,78,527,69,0.0,0,0.0,0.0,,Ok
0x0001,79,,,,,,,,Err
0x0002,79,570,51,0.0,0,0.0,0.0,,Ok
0x0001,80,,,,,,,,Err
0x0002,80,573,70,0.0,0,0.0,0.0,,Ok
0x0001,81,,,,,,,,Err
0x0002,81,561,68,0.0,0,0.0,0.0,,Ok
0x0001,82,,,,,,,,Err
0x0002,82,573,107,0.0,0,0.0,0.0,,Ok
0x0001,83,,,,,,,,Err
0x0002,83,584,87,0.0,0,0.0,0.0,,Ok
0x0001,84,,,,,,,,Err
0x0002,84,569,123,0.0,0,0.0,0.0,,Ok
0x0001,85,,,,,,,,Err
0x0002,85,579,65,0.0,0,0.0,0.0,,Ok
0x0001,86,,,,,,,,Err
0x0002,86,564,72,0.0,0,0.0,0.0,,Ok
0x0001,87,,,,,,,,Err
0x0002,87,575,71,0.0,0,0.0,0.0,,Ok
0x0001,88,,,,,,,,Err
0x0002,88,567,165,0.0,0,0.0,0.0,,Ok
0x0001,89,,,,,,,,Err
0x0002,89,584,113,0.0,0,0.0,0.0,,Ok
0x0001,90,,,,,,,,Err
0x0002,90,569,62,0.0,0,0.0,0.0,,Ok
0x0001,91,,,,,,,,Err
0x0002,91,582,64,0.0,0,0.0,0.0,,Ok
0x0001,92,,,,,,,,Err
0x0002,92,604,70,0.0,0,0.0,0.0,,Ok
0x0001,93,,,,,,,,Err
0x0002,93,570,64,0.0,0,0.0,0.0,,Ok
0x0001,94,,,,,,,,Err
0x0002,94,566,128,0.0,0,0.0,0.0,,Ok
0x0001,95,,,,,,,,Err
0x0002,95,582,110,0.0,0,0.0,0.0,,Ok
0x0001,96,,,,,,,,Err
0x0002,96,588,128,0.0,0,0.0,0.0,,Ok
0x0001,97,,,,,,,,Err
0x0002,97,600,68,0.0,0,0.0,0.0,,Ok
0x0001,98,,,,,,,,Err
0x0002,98,579,125,0.0,0,0.0,0.0,,Ok
0x0001,99,,,,,,,,Err
0x0002,99,561,66,0.0,0,0.0,0.0,,Ok
0x0001,100,,,,,,,,Err
0x0002,100,585,91,0.0,0,0.0,0.0,,Ok
0x0001,101,,,,,,,,Err
0x0002,101,561,65,0.0,0,0.0,0.0,,Ok
0x0001,102,,,,,,,,Err
0x0002,102,569,129,0.0,0,0.0,0.0,,Ok
0x0001,103,,,,,,,,Err
0x0002,103,573,61,0.0,0,0.0,0.0,,Ok
0x0001,104,,,,,,,,Err
0x0002,104,579,66,0.0,0,0.0,0.0,,Ok
0x0001,105,,,,,,,,Err
0x0002,105,572,68,0.0,0,0.0,0.0,,Ok
0x0001,106,,,,,,,,Err
0x0002,106,575,67,0.0,0,0.0,0.0,,Ok
0x0001,107,,,,,,,,Err
0x0002,107,600,65,0.0,0,0.0,0.0,,Ok
0x0001,108,,,,,,,,Err
0x0002,108,566,64,0.0,0,0.0,0.0,,Ok
0x0001,109,,,,,,,,Err
0x0002,109,578,104,0.0,0,0.0,0.0,,Ok
0x0001,110,,,,,,,,Err
0x0002,110,597,113,0.0,0,0.0,0.0,,Ok
0x0001,111,,,,,,,,Err
