block_index,distance[cm],mac_address,n_measurements,sequence_number,session_handle,status
0,107,0x0001,1,0,1,SUCCESS
1,102,0x0001,1,1,1,SUCCESS
2,99,0x0001,1,2,1,SUCCESS
3,108,0x0001,1,3,1,SUCCESS
4,104,0x0001,1,4,1,SUCCESS
5,101,0x0001,1,5,1,SUCCESS
6,103,0x0001,1,6,1,SUCCESS
7,99,0x0001,1,7,1,SUCCESS
8,96,0x0001,1,8,1,SUCCESS
9,98,0x0001,1,9,1,SUCCESS
10,100,0x0001,1,10,1,SUCCESS
11,102,0x0001,1,11,1,SUCCESS
12,106,0x0001,1,12,1,SUCCESS
13,108,0x0001,1,13,1,SUCCESS
14,107,0x0001,1,14,1,SUCCESS
15,106,0x0001,1,15,1,SUCCESS
16,101,0x0001,1,16,1,SUCCESS
17,101,0x0001,1,17,1,SUCCESS
18,100,0x0001,1,18,1,SUCCESS
19,99,0x0001,1,19,1,SUCCESS
20,99,0x0001,1,20,1,SUCCESS
21,101,0x0001,1,21,1,SUCCESS
22,100,0x0001,1,22,1,SUCCESS
23,99,0x0001,1,23,1,SUCCESS
24,97,0x0001,1,24,1,SUCCESS
25,96,0x0001,1,25,1,SUCCESS
26,97,0x0001,1,26,1,SUCCESS
27,98,0x0001,1,27,1,SUCCESS
28,100,0x0001,1,28,1,SUCCESS
29,99,0x0001,1,29,1,SUCCESS
30,93,0x0001,1,30,1,SUCCESS
31,96,0x0001,1,31,1,SUCCESS
32,95,0x0001,1,32,1,SUCCESS
33,95,0x0001,1,33,1,SUCCESS
34,95,0x0001,1,34,1,SUCCESS
35,96,0x0001,1,35,1,SUCCESS
36,95,0x0001,1,36,1,SUCCESS
37,94,0x0001,1,37,1,SUCCESS
38,95,0x0001,1,38,1,SUCCESS
39,98,0x0001,1,39,1,SUCCESS
40,93,0x0001,1,40,1,SUCCESS
41,95,0x0001,1,41,1,SUCCESS
42,97,0x0001,1,42,1,SUCCESS
43,94,0x0001,1,43,1,SUCCESS
44,98,0x0001,1,44,1,SUCCESS
45,98,0x0001,1,45,1,SUCCESS
46,97,0x0001,1,46,1,SUCCESS
47,98,0x0001,1,47,1,SUCCESS
48,101,0x0001,1,48,1,SUCCESS
49,102,0x0001,1,49,1,SUCCESS
50,101,0x0001,1,50,1,SUCCESS
51,102,0x0001,1,51,1,SUCCESS
52,104,0x0001,1,52,1,SUCCESS
53,104,0x0001,1,53,1,SUCCESS
54,104,0x0001,1,54,1,SUCCESS
55,105,0x0001,1,55,1,SUCCESS
56,108,0x0001,1,56,1,SUCCESS
57,105,0x0001,1,57,1,SUCCESS
58,104,0x0001,1,58,1,SUCCESS
59,104,0x0001,1,59,1,SUCCESS
60,103,0x0001,1,60,1,SUCCESS
61,105,0x0001,1,61,1,SUCCESS
62,106,0x0001,1,62,1,SUCCESS
63,101,0x0001,1,63,1,SUCCESS
64,104,0x0001,1,64,1,SUCCESS
65,102,0x0001,1,65,1,SUCCESS
66,103,0x0001,1,66,1,SUCCESS
