block_index,distance[cm],mac_address,n_measurements,sequence_number,session_handle,status
0,56,0x0001,1,0,1,SUCCESS
1,51,0x0001,1,1,1,SUCCESS
2,58,0x0001,1,2,1,SUCCESS
3,56,0x0001,1,3,1,SUCCESS
4,56,0x0001,1,4,1,SUCCESS
5,52,0x0001,1,5,1,SUCCESS
6,53,0x0001,1,6,1,SUCCESS
7,59,0x0001,1,7,1,SUCCESS
8,56,0x0001,1,8,1,SUCCESS
9,58,0x0001,1,9,1,SUCCESS
10,54,0x0001,1,10,1,SUCCESS
11,58,0x0001,1,11,1,SUCCESS
12,55,0x0001,1,12,1,SUCCESS
13,52,0x0001,1,13,1,SUCCESS
14,53,0x0001,1,14,1,SUCCESS
15,53,0x0001,1,15,1,SUCCESS
16,58,0x0001,1,16,1,SUCCESS
17,56,0x0001,1,17,1,SUCCESS
18,55,0x0001,1,18,1,SUCCESS
19,55,0x0001,1,19,1,SUCCESS
20,54,0x0001,1,20,1,SUCCESS
21,47,0x0001,1,21,1,SUCCESS
22,56,0x0001,1,22,1,SUCCESS
23,56,0x0001,1,23,1,SUCCESS
24,55,0x0001,1,24,1,SUCCESS
25,58,0x0001,1,25,1,SUCCESS
26,55,0x0001,1,26,1,SUCCESS
27,57,0x0001,1,27,1,SUCCESS
28,53,0x0001,1,28,1,SUCCESS
29,57,0x0001,1,29,1,SUCCESS
30,53,0x0001,1,30,1,SUCCESS
31,59,0x0001,1,31,1,SUCCESS
32,56,0x0001,1,32,1,SUCCESS
33,54,0x0001,1,33,1,SUCCESS
34,60,0x0001,1,34,1,SUCCESS
35,56,0x0001,1,35,1,SUCCESS
36,60,0x0001,1,36,1,SUCCESS
37,61,0x0001,1,37,1,SUCCESS
38,60,0x0001,1,38,1,SUCCESS
39,59,0x0001,1,39,1,SUCCESS
40,56,0x0001,1,40,1,SUCCESS
41,58,0x0001,1,41,1,SUCCESS
42,58,0x0001,1,42,1,SUCCESS
43,58,0x0001,1,43,1,SUCCESS
44,56,0x0001,1,44,1,SUCCESS
45,56,0x0001,1,45,1,SUCCESS
46,58,0x0001,1,46,1,SUCCESS
47,54,0x0001,1,47,1,SUCCESS
48,58,0x0001,1,48,1,SUCCESS
49,56,0x0001,1,49,1,SUCCESS
50,56,0x0001,1,50,1,SUCCESS
51,58,0x0001,1,51,1,SUCCESS
52,57,0x0001,1,52,1,SUCCESS
53,59,0x0001,1,53,1,SUCCESS
54,58,0x0001,1,54,1,SUCCESS
55,60,0x0001,1,55,1,SUCCESS
56,61,0x0001,1,56,1,SUCCESS
57,58,0x0001,1,57,1,SUCCESS
58,60,0x0001,1,58,1,SUCCESS
59,61,0x0001,1,59,1,SUCCESS
60,61,0x0001,1,60,1,SUCCESS
61,61,0x0001,1,61,1,SUCCESS
62,62,0x0001,1,62,1,SUCCESS
63,59,0x0001,1,63,1,SUCCESS
64,59,0x0001,1,64,1,SUCCESS
65,64,0x0001,1,65,1,SUCCESS
66,58,0x0001,1,66,1,SUCCESS
67,64,0x0001,1,67,1,SUCCESS
68,61,0x0001,1,68,1,SUCCESS
69,61,0x0001,1,69,1,SUCCESS
70,64,0x0001,1,70,1,SUCCESS
71,62,0x0001,1,71,1,SUCCESS
72,64,0x0001,1,72,1,SUCCESS
73,63,0x0001,1,73,1,SUCCESS
74,61,0x0001,1,74,1,SUCCESS
75,65,0x0001,1,75,1,SUCCESS
76,64,0x0001,1,76,1,SUCCESS
77,60,0x0001,1,77,1,SUCCESS
78,61,0x0001,1,78,1,SUCCESS
79,60,0x0001,1,79,1,SUCCESS
80,58,0x0001,1,80,1,SUCCESS
81,66,0x0001,1,81,1,SUCCESS
82,61,0x0001,1,82,1,SUCCESS
83,64,0x0001,1,83,1,SUCCESS
84,65,0x0001,1,84,1,SUCCESS
85,61,0x0001,1,85,1,SUCCESS
86,64,0x0001,1,86,1,SUCCESS
87,65,0x0001,1,87,1,SUCCESS
88,61,0x0001,1,88,1,SUCCESS
89,63,0x0001,1,89,1,SUCCESS
90,63,0x0001,1,90,1,SUCCESS
91,57,0x0001,1,91,1,SUCCESS
92,67,0x0001,1,92,1,SUCCESS
93,67,0x0001,1,93,1,SUCCESS
94,66,0x0001,1,94,1,SUCCESS
95,69,0x0001,1,95,1,SUCCESS
96,63,0x0001,1,96,1,SUCCESS
97,67,0x0001,1,97,1,SUCCESS
98,65,0x0001,1,98,1,SUCCESS
99,63,0x0001,1,99,1,SUCCESS
100,68,0x0001,1,100,1,SUCCESS
101,62,0x0001,1,101,1,SUCCESS
102,59,0x0001,1,102,1,SUCCESS
103,65,0x0001,1,103,1,SUCCESS
104,62,0x0001,1,104,1,SUCCESS
105,60,0x0001,1,105,1,SUCCESS
106,63,0x0001,1,106,1,SUCCESS
107,64,0x0001,1,107,1,SUCCESS
108,61,0x0001,1,108,1,SUCCESS
109,59,0x0001,1,109,1,SUCCESS
110,64,0x0001,1,110,1,SUCCESS
111,63,0x0001,1,111,1,SUCCESS
112,62,0x0001,1,112,1,SUCCESS
113,61,0x0001,1,113,1,SUCCESS
114,61,0x0001,1,114,1,SUCCESS
115,65,0x0001,1,115,1,SUCCESS
116,59,0x0001,1,116,1,SUCCESS
117,62,0x0001,1,117,1,SUCCESS
118,66,0x0001,1,118,1,SUCCESS
119,61,0x0001,1,119,1,SUCCESS
120,58,0x0001,1,120,1,SUCCESS
121,62,0x0001,1,121,1,SUCCESS
122,62,0x0001,1,122,1,SUCCESS
123,60,0x0001,1,123,1,SUCCESS
124,62,0x0001,1,124,1,SUCCESS
125,62,0x0001,1,125,1,SUCCESS
126,64,0x0001,1,126,1,SUCCESS
127,62,0x0001,1,127,1,SUCCESS
128,60,0x0001,1,128,1,SUCCESS
129,61,0x0001,1,129,1,SUCCESS
130,62,0x0001,1,130,1,SUCCESS
131,62,0x0001,1,131,1,SUCCESS
132,61,0x0001,1,132,1,SUCCESS
133,60,0x0001,1,133,1,SUCCESS
134,61,0x0001,1,134,1,SUCCESS
135,59,0x0001,1,135,1,SUCCESS
136,63,0x0001,1,136,1,SUCCESS
137,59,0x0001,1,137,1,SUCCESS
138,52,0x0001,1,138,1,SUCCESS
139,53,0x0001,1,139,1,SUCCESS
140,56,0x0001,1,140,1,SUCCESS
141,55,0x0001,1,141,1,SUCCESS
142,55,0x0001,1,142,1,SUCCESS
143,53,0x0001,1,143,1,SUCCESS
144,61,0x0001,1,144,1,SUCCESS
145,55,0x0001,1,145,1,SUCCESS
146,56,0x0001,1,146,1,SUCCESS
147,54,0x0001,1,147,1,SUCCESS
148,57,0x0001,1,148,1,SUCCESS
149,58,0x0001,1,149,1,SUCCESS
150,61,0x0001,1,150,1,SUCCESS
151,60,0x0001,1,151,1,SUCCESS
152,55,0x0001,1,152,1,SUCCESS
153,65,0x0001,1,153,1,SUCCESS
154,64,0x0001,1,154,1,SUCCESS
155,63,0x0001,1,155,1,SUCCESS
156,60,0x0001,1,156,1,SUCCESS
157,61,0x0001,1,157,1,SUCCESS
158,60,0x0001,1,158,1,SUCCESS
159,61,0x0001,1,159,1,SUCCESS
160,61,0x0001,1,160,1,SUCCESS
161,63,0x0001,1,161,1,SUCCESS
162,62,0x0001,1,162,1,SUCCESS
163,62,0x0001,1,163,1,SUCCESS
164,58,0x0001,1,164,1,SUCCESS
165,59,0x0001,1,165,1,SUCCESS
166,60,0x0001,1,166,1,SUCCESS
167,57,0x0001,1,167,1,SUCCESS
168,61,0x0001,1,168,1,SUCCESS
169,62,0x0001,1,169,1,SUCCESS
170,61,0x0001,1,170,1,SUCCESS
171,61,0x0001,1,171,1,SUCCESS
172,59,0x0001,1,172,1,SUCCESS
173,59,0x0001,1,173,1,SUCCESS
174,57,0x0001,1,174,1,SUCCESS
175,59,0x0001,1,175,1,SUCCESS
176,63,0x0001,1,176,1,SUCCESS
177,61,0x0001,1,177,1,SUCCESS
178,61,0x0001,1,178,1,SUCCESS
179,58,0x0001,1,179,1,SUCCESS
180,63,0x0001,1,180,1,SUCCESS
181,60,0x0001,1,181,1,SUCCESS
182,61,0x0001,1,182,1,SUCCESS
183,62,0x0001,1,183,1,SUCCESS
184,62,0x0001,1,184,1,SUCCESS
185,62,0x0001,1,185,1,SUCCESS
186,66,0x0001,1,186,1,SUCCESS
187,65,0x0001,1,187,1,SUCCESS
188,66,0x0001,1,188,1,SUCCESS
189,63,0x0001,1,189,1,SUCCESS
190,66,0x0001,1,190,1,SUCCESS
191,64,0x0001,1,191,1,SUCCESS
192,68,0x0001,1,192,1,SUCCESS
193,65,0x0001,1,193,1,SUCCESS
194,65,0x0001,1,194,1,SUCCESS
195,62,0x0001,1,195,1,SUCCESS
196,63,0x0001,1,196,1,SUCCESS
197,66,0x0001,1,197,1,SUCCESS
198,62,0x0001,1,198,1,SUCCESS
199,62,0x0001,1,199,1,SUCCESS
200,66,0x0001,1,200,1,SUCCESS
201,66,0x0001,1,201,1,SUCCESS
202,71,0x0001,1,202,1,SUCCESS
203,68,0x0001,1,203,1,SUCCESS
204,66,0x0001,1,204,1,SUCCESS
205,65,0x0001,1,205,1,SUCCESS
206,65,0x0001,1,206,1,SUCCESS
207,64,0x0001,1,207,1,SUCCESS
208,60,0x0001,1,208,1,SUCCESS
209,66,0x0001,1,209,1,SUCCESS
210,65,0x0001,1,210,1,SUCCESS
211,59,0x0001,1,211,1,SUCCESS
212,63,0x0001,1,212,1,SUCCESS
213,60,0x0001,1,213,1,SUCCESS
214,61,0x0001,1,214,1,SUCCESS
215,61,0x0001,1,215,1,SUCCESS
216,59,0x0001,1,216,1,SUCCESS
217,64,0x0001,1,217,1,SUCCESS
218,62,0x0001,1,218,1,SUCCESS
219,60,0x0001,1,219,1,SUCCESS
220,63,0x0001,1,220,1,SUCCESS
221,62,0x0001,1,221,1,SUCCESS
222,62,0x0001,1,222,1,SUCCESS
223,58,0x0001,1,223,1,SUCCESS
224,63,0x0001,1,224,1,SUCCESS
225,57,0x0001,1,225,1,SUCCESS
226,60,0x0001,1,226,1,SUCCESS
227,55,0x0001,1,227,1,SUCCESS
228,56,0x0001,1,228,1,SUCCESS
229,53,0x0001,1,229,1,SUCCESS
230,57,0x0001,1,230,1,SUCCESS
231,55,0x0001,1,231,1,SUCCESS
232,54,0x0001,1,232,1,SUCCESS
233,57,0x0001,1,233,1,SUCCESS
234,56,0x0001,1,234,1,SUCCESS
235,55,0x0001,1,235,1,SUCCESS
236,57,0x0001,1,236,1,SUCCESS
237,61,0x0001,1,237,1,SUCCESS
238,60,0x0001,1,238,1,SUCCESS
239,62,0x0001,1,239,1,SUCCESS
240,61,0x0001,1,240,1,SUCCESS
241,64,0x0001,1,241,1,SUCCESS
242,64,0x0001,1,242,1,SUCCESS
243,63,0x0001,1,243,1,SUCCESS
244,61,0x0001,1,244,1,SUCCESS
245,64,0x0001,1,245,1,SUCCESS
246,63,0x0001,1,246,1,SUCCESS
247,67,0x0001,1,247,1,SUCCESS
248,65,0x0001,1,248,1,SUCCESS
249,62,0x0001,1,249,1,SUCCESS
250,62,0x0001,1,250,1,SUCCESS
251,67,0x0001,1,251,1,SUCCESS
252,59,0x0001,1,252,1,SUCCESS
253,64,0x0001,1,253,1,SUCCESS
254,63,0x0001,1,254,1,SUCCESS
255,66,0x0001,1,255,1,SUCCESS
256,63,0x0001,1,256,1,SUCCESS
257,63,0x0001,1,257,1,SUCCESS
258,65,0x0001,1,258,1,SUCCESS
259,65,0x0001,1,259,1,SUCCESS
260,62,0x0001,1,260,1,SUCCESS
261,67,0x0001,1,261,1,SUCCESS
262,63,0x0001,1,262,1,SUCCESS
263,67,0x0001,1,263,1,SUCCESS
264,63,0x0001,1,264,1,SUCCESS
265,60,0x0001,1,265,1,SUCCESS
266,63,0x0001,1,266,1,SUCCESS
267,63,0x0001,1,267,1,SUCCESS
268,63,0x0001,1,268,1,SUCCESS
269,60,0x0001,1,269,1,SUCCESS
270,63,0x0001,1,270,1,SUCCESS
271,67,0x0001,1,271,1,SUCCESS
272,65,0x0001,1,272,1,SUCCESS
273,62,0x0001,1,273,1,SUCCESS
274,62,0x0001,1,274,1,SUCCESS
275,69,0x0001,1,275,1,SUCCESS
276,70,0x0001,1,276,1,SUCCESS
277,66,0x0001,1,277,1,SUCCESS
278,69,0x0001,1,278,1,SUCCESS
279,71,0x0001,1,279,1,SUCCESS
280,65,0x0001,1,280,1,SUCCESS
281,65,0x0001,1,281,1,SUCCESS
282,67,0x0001,1,282,1,SUCCESS
283,68,0x0001,1,283,1,SUCCESS
284,65,0x0001,1,284,1,SUCCESS
285,72,0x0001,1,285,1,SUCCESS
286,72,0x0001,1,286,1,SUCCESS
287,67,0x0001,1,287,1,SUCCESS
288,69,0x0001,1,288,1,SUCCESS
289,65,0x0001,1,289,1,SUCCESS
290,69,0x0001,1,290,1,SUCCESS
291,63,0x0001,1,291,1,SUCCESS
