Addr,Block,CFO_100ppm,D_cm,LAoA_deg,LFoM,LPDoA_deg,RAoA_deg,Session Stopped,Status
0x0001,0,,,,,,,,Err
0x0002,0,716,1162,0.0,0,0.0,0.0,,Ok
0x0001,1,,,,,,,,Err
0x0002,1,680,1169,0.0,0,0.0,0.0,,Ok
0x0001,2,,,,,,,,Err
0x0002,2,660,1167,0.0,0,0.0,0.0,,Ok
0x0001,3,,,,,,,,Err
0x0002,3,718,1166,0.0,0,0.0,0.0,,Ok
0x0001,4,,,,,,,,Err
0x0002,4,517,1167,0.0,0,0.0,0.0,,Ok
0x0001,5,,,,,,,,Err
0x0002,5,,,,,,,,Err
0x0001,6,,,,,,,,Err
0x0002,6,543,1160,0.0,0,0.0,0.0,,Ok
0x0001,7,,,,,,,,Err
0x0002,7,545,1164,0.0,0,0.0,0.0,,Ok
0x0001,8,,,,,,,,Err
0x0002,8,551,1163,0.0,0,0.0,0.0,,Ok
0x0001,9,,,,,,,,Err
0x0002,9,573,1164,0.0,0,0.0,0.0,,Ok
0x0001,10,,,,,,,,Err
0x0002,10,561,1163,0.0,0,0.0,0.0,,Ok
0x0001,11,,,,,,,,Err
0x0002,11,542,1164,0.0,0,0.0,0.0,,Ok
0x0001,12,,,,,,,,Err
0x0002,12,531,1164,0.0,0,0.0,0.0,,Ok
0x0001,13,,,,,,,,Err
0x0002,13,552,1165,0.0,0,0.0,0.0,,Ok
0x0001,14,,,,,,,,Err
0x0002,14,,,,,,,,Err
0x0001,15,,,,,,,,Err
0x0002,15,,,,,,,,Err
0x0001,16,,,,,,,,Err
0x0002,16,591,1163,0.0,0,0.0,0.0,,Ok
0x0001,17,,,,,,,,Err
0x0002,17,610,1164,0.0,0,0.0,0.0,,Ok
0x0001,18,,,,,,,,Err
0x0002,18,593,1162,0.0,0,0.0,0.0,,Ok
0x0001,19,,,,,,,,Err
0x0002,19,,,,,,,,Err
0x0001,20,,,,,,,,Err
0x0002,20,634,1162,0.0,0,0.0,0.0,,Ok
0x0001,21,,,,,,,,Err
0x0002,21,624,1166,0.0,0,0.0,0.0,,Ok
0x0001,22,,,,,,,,Err
0x0002,22,584,1165,0.0,0,0.0,0.0,,Ok
0x0001,23,,,,,,,,Err
0x0002,23,607,1165,0.0,0,0.0,0.0,,Ok
0x0001,24,,,,,,,,Err
0x0002,24,,,,,,,,Err
0x0001,25,,,,,,,,Err
0x0002,25,607,1165,0.0,0,0.0,0.0,,Ok
0x0001,26,,,,,,,,Err
0x0002,26,597,1161,0.0,0,0.0,0.0,,Ok
0x0001,27,,,,,,,,Err
0x0002,27,579,1164,0.0,0,0.0,0.0,,Ok
0x0001,28,,,,,,,,Err
0x0002,28,615,1164,0.0,0,0.0,0.0,,Ok
0x0001,29,,,,,,,,Err
0x0002,29,599,1165,0.0,0,0.0,0.0,,Ok
0x0001,30,,,,,,,,Err
0x0002,30,588,1164,0.0,0,0.0,0.0,,Ok
0x0001,31,,,,,,,,Err
0x0002,31,593,1165,0.0,0,0.0,0.0,,Ok
0x0001,32,,,,,,,,Err
0x0002,32,619,1165,0.0,0,0.0,0.0,,Ok
0x0001,33,,,,,,,,Err
0x0002,33,615,1164,0.0,0,0.0,0.0,,Ok
