Addr,Block,CFO_100ppm,D_cm,LAoA_deg,LFoM,LPDoA_deg,RAoA_deg,Session Stopped,Status
0x0001,0,,,,,,,,Err
0x0002,0,695,508,0.0,0,0.0,0.0,,Ok
0x0001,1,,,,,,,,Err
0x0002,1,707,491,0.0,0,0.0,0.0,,Ok
0x0001,2,,,,,,,,Err
0x0002,2,709,489,0.0,0,0.0,0.0,,Ok
0x0001,3,,,,,,,,Err
0x0002,3,508,567,0.0,0,0.0,0.0,,Ok
0x0001,4,,,,,,,,Err
0x0002,4,604,492,0.0,0,0.0,0.0,,Ok
0x0001,5,,,,,,,,Err
0x0002,5,579,538,0.0,0,0.0,0.0,,Ok
0x0001,6,,,,,,,,Err
0x0002,6,585,642,0.0,0,0.0,0.0,,Ok
0x0001,7,,,,,,,,Err
0x0002,7,618,520,0.0,0,0.0,0.0,,Ok
0x0001,8,,,,,,,,Err
0x0002,8,633,619,0.0,0,0.0,0.0,,Ok
0x0001,9,,,,,,,,Err
0x0002,9,609,513,0.0,0,0.0,0.0,,Ok
0x0001,10,,,,,,,,Err
0x0002,10,604,486,0.0,0,0.0,0.0,,Ok
0x0001,11,,,,,,,,Err
0x0002,11,618,643,0.0,0,0.0,0.0,,Ok
0x0001,12,,,,,,,,Err
0x0002,12,602,617,0.0,0,0.0,0.0,,Ok
0x0001,13,,,,,,,,Err
0x0002,13,597,563,0.0,0,0.0,0.0,,Ok
0x0001,14,,,,,,,,Err
0x0002,14,602,539,0.0,0,0.0,0.0,,Ok
0x0001,15,,,,,,,,Err
0x0002,15,597,564,0.0,0,0.0,0.0,,Ok
0x0001,16,,,,,,,,Err
0x0002,16,588,645,0.0,0,0.0,0.0,,Ok
0x0001,17,,,,,,,,Err
0x0002,17,593,638,0.0,0,0.0,0.0,,Ok
0x0001,18,,,,,,,,Err
0x0002,18,606,513,0.0,0,0.0,0.0,,Ok
0x0001,19,,,,,,,,Err
0x0002,19,600,563,0.0,0,0.0,0.0,,Ok
0x0001,20,,,,,,,,Err
0x0002,20,602,643,0.0,0,0.0,0.0,,Ok
0x0001,21,,,,,,,,Err
0x0002,21,642,490,0.0,0,0.0,0.0,,Ok
0x0001,22,,,,,,,,Err
0x0002,22,600,565,0.0,0,0.0,0.0,,Ok
0x0001,23,,,,,,,,Err
0x0002,23,602,512,0.0,0,0.0,0.0,,Ok
0x0001,24,,,,,,,,Err
0x0002,24,630,592,0.0,0,0.0,0.0,,Ok
0x0001,25,,,,,,,,Err
0x0002,25,590,640,0.0,0,0.0,0.0,,Ok
0x0001,26,,,,,,,,Err
0x0002,26,610,643,0.0,0,0.0,0.0,,Ok
0x0001,27,,,,,,,,Err
0x0002,27,602,513,0.0,0,0.0,0.0,,Ok
0x0001,28,,,,,,,,Err
0x0002,28,604,644,0.0,0,0.0,0.0,,Ok
0x0001,29,,,,,,,,Err
0x0002,29,606,560,0.0,0,0.0,0.0,,Ok
0x0001,30,,,,,,,,Err
0x0002,30,600,567,0.0,0,0.0,0.0,,Ok
0x0001,31,,,,,,,,Err
0x0002,31,600,644,0.0,0,0.0,0.0,,Ok
0x0001,32,,,,,,,,Err
0x0002,32,584,640,0.0,0,0.0,0.0,,Ok
0x0001,33,,,,,,,,Err
0x0002,33,616,643,0.0,0,0.0,0.0,,Ok
0x0001,34,,,,,,,,Err
0x0002,34,569,640,0.0,0,0.0,0.0,,Ok
0x0001,35,,,,,,,,Err
0x0002,35,593,565,0.0,0,0.0,0.0,,Ok
0x0001,36,,,,,,,,Err
0x0002,36,597,639,0.0,0,0.0,0.0,,Ok
0x0001,37,,,,,,,,Err
0x0002,37,619,565,0.0,0,0.0,0.0,,Ok
0x0001,38,,,,,,,,Err
0x0002,38,587,637,0.0,0,0.0,0.0,,Ok
0x0001,39,,,,,,,,Err
0x0002,39,594,514,0.0,0,0.0,0.0,,Ok
0x0001,40,,,,,,,,Err
0x0002,40,593,512,0.0,0,0.0,0.0,,Ok
0x0001,41,,,,,,,,Err
0x0002,41,587,568,0.0,0,0.0,0.0,,Ok
0x0001,42,,,,,,,,Err
0x0002,42,590,539,0.0,0,0.0,0.0,,Ok
0x0001,43,,,,,,,,Err
0x0002,43,606,557,0.0,0,0.0,0.0,,Ok
0x0001,44,,,,,,,,Err
0x0002,44,624,564,0.0,0,0.0,0.0,,Ok
0x0001,45,,,,,,,,Err
0x0002,45,633,537,0.0,0,0.0,0.0,,Ok
0x0001,46,,,,,,,,Err
0x0002,46,557,557,0.0,0,0.0,0.0,,Ok
0x0001,47,,,,,,,,Err
0x0002,47,610,644,0.0,0,0.0,0.0,,Ok
0x0001,48,,,,,,,,Err
0x0002,48,625,643,0.0,0,0.0,0.0,,Ok
0x0001,49,,,,,,,,Err
0x0002,49,602,614,0.0,0,0.0,0.0,,Ok
0x0001,50,,,,,,,,Err
0x0002,50,619,645,0.0,0,0.0,0.0,,Ok
0x0001,51,,,,,,,,Err
0x0002,51,579,507,0.0,0,0.0,0.0,,Ok
0x0001,52,,,,,,,,Err
0x0002,52,596,642,0.0,0,0.0,0.0,,Ok
0x0001,53,,,,,,,,Err
0x0002,53,,,,,,,,Err
0x0001,54,,,,,,,,Err
0x0002,54,612,642,0.0,0,0.0,0.0,,Ok
0x0001,55,,,,,,,,Err
0x0002,55,610,640,0.0,0,0.0,0.0,,Ok
0x0001,56,,,,,,,,Err
0x0002,56,613,559,0.0,0,0.0,0.0,,Ok
0x0001,57,,,,,,,,Err
0x0002,57,587,639,0.0,0,0.0,0.0,,Ok
0x0001,58,,,,,,,,Err
0x0002,58,612,639,0.0,0,0.0,0.0,,Ok
0x0001,59,,,,,,,,Err
0x0002,59,610,613,0.0,0,0.0,0.0,,Ok
0x0001,60,,,,,,,,Err
0x0002,60,602,614,0.0,0,0.0,0.0,,Ok
0x0001,61,,,,,,,,Err
0x0002,61,627,613,0.0,0,0.0,0.0,,Ok
0x0001,62,,,,,,,,Err
0x0002,62,604,611,0.0,0,0.0,0.0,,Ok
0x0001,63,,,,,,,,Err
0x0002,63,593,563,0.0,0,0.0,0.0,,Ok
0x0001,64,,,,,,,,Err
0x0002,64,578,509,0.0,0,0.0,0.0,,Ok
0x0001,65,,,,,,,,Err
0x0002,65,618,636,0.0,0,0.0,0.0,,Ok
0x0001,66,,,,,,,,Err
0x0002,66,585,509,0.0,0,0.0,0.0,,Ok
0x0001,67,,,,,,,,Err
0x0002,67,606,587,0.0,0,0.0,0.0,,Ok
0x0001,68,,,,,,,,Err
0x0002,68,616,515,0.0,0,0.0,0.0,,Ok
0x0001,69,,,,,,,,Err
0x0002,69,597,564,0.0,0,0.0,0.0,,Ok
0x0001,70,,,,,,,,Err
0x0002,70,633,550,0.0,0,0.0,0.0,,Ok
0x0001,71,,,,,,,,Err
0x0002,71,593,615,0.0,0,0.0,0.0,,Ok
0x0001,72,,,,,,,,Err
0x0002,72,637,564,0.0,0,0.0,0.0,,Ok
0x0001,73,,,,,,,,Err
0x0002,73,610,487,0.0,0,0.0,0.0,,Ok
0x0001,74,,,,,,,,Err
0x0002,74,619,642,0.0,0,0.0,0.0,,Ok
0x0001,75,,,,,,,,Err
0x0002,75,619,565,0.0,0,0.0,0.0,,Ok
0x0001,76,,,,,,,,Err
0x0002,76,604,560,0.0,0,0.0,0.0,,Ok
0x0001,77,,,,,,,,Err
0x0002,77,619,567,0.0,0,0.0,0.0,,Ok
0x0001,78,,,,,,,,Err
0x0002,78,603,508,0.0,0,0.0,0.0,,Ok
0x0001,79,,,,,,,,Err
0x0002,79,593,617,0.0,0,0.0,0.0,,Ok
0x0001,80,,,,,,,,Err
0x0002,80,599,645,0.0,0,0.0,0.0,,Ok
0x0001,81,,,,,,,,Err
0x0002,81,594,561,0.0,0,0.0,0.0,,Ok
0x0001,82,,,,,,,,Err
0x0002,82,602,590,0.0,0,0.0,0.0,,Ok
0x0001,83,,,,,,,,Err
0x0002,83,603,562,0.0,0,0.0,0.0,,Ok
0x0001,84,,,,,,,,Err
0x0002,84,652,566,0.0,0,0.0,0.0,,Ok
0x0001,85,,,,,,,,Err
0x0002,85,619,640,0.0,0,0.0,0.0,,Ok
0x0001,86,,,,,,,,Err
0x0002,86,613,568,0.0,0,0.0,0.0,,Ok
0x0001,87,,,,,,,,Err
0x0002,87,615,565,0.0,0,0.0,0.0,,Ok
0x0001,88,,,,,,,,Err
0x0002,88,602,570,0.0,0,0.0,0.0,,Ok
0x0001,89,,,,,,,,Err
0x0002,89,613,637,0.0,0,0.0,0.0,,Ok
0x0001,90,,,,,,,,Err
0x0002,90,593,538,0.0,0,0.0,0.0,,Ok
0x0001,91,,,,,,,,Err
0x0002,91,606,561,0.0,0,0.0,0.0,,Ok
0x0001,92,,,,,,,,Err
0x0002,92,604,562,0.0,0,0.0,0.0,,Ok
0x0001,93,,,,,,,,Err
0x0002,93,600,642,0.0,0,0.0,0.0,,Ok
0x0001,94,,,,,,,,Err
0x0002,94,625,643,0.0,0,0.0,0.0,,Ok
0x0001,95,,,,,,,,Err
0x0002,95,606,515,0.0,0,0.0,0.0,,Ok
0x0001,96,,,,,,,,Err
0x0002,96,631,640,0.0,0,0.0,0.0,,Ok
0x0001,97,,,,,,,,Err
0x0002,97,619,567,0.0,0,0.0,0.0,,Ok
0x0001,98,,,,,,,,Err
0x0002,98,642,638,0.0,0,0.0,0.0,,Ok
0x0001,99,,,,,,,,Err
0x0002,99,625,561,0.0,0,0.0,0.0,,Ok
0x0001,100,,,,,,,,Err
0x0002,100,619,560,0.0,0,0.0,0.0,,Ok
0x0001,101,,,,,,,,Err
0x0002,101,593,567,0.0,0,0.0,0.0,,Ok
0x0001,102,,,,,,,,Err
0x0002,102,622,640,0.0,0,0.0,0.0,,Ok
0x0001,103,,,,,,,,Err
0x0002,103,631,590,0.0,0,0.0,0.0,,Ok
0x0001,104,,,,,,,,Err
0x0002,104,590,638,0.0,0,0.0,0.0,,Ok
0x0001,105,,,,,,,,Err
0x0002,105,615,557,0.0,0,0.0,0.0,,Ok
0x0001,106,,,,,,,,Err
0x0002,106,645,642,0.0,0,0.0,0.0,,Ok
0x0001,107,,,,,,,,Err
0x0002,107,602,587,0.0,0,0.0,0.0,,Ok
0x0001,108,,,,,,,,Err
0x0002,108,618,590,0.0,0,0.0,0.0,,Ok
0x0001,109,,,,,,,,Err
0x0002,109,631,554,0.0,0,0.0,0.0,,Ok
0x0001,110,,,,,,,,Err
0x0002,110,609,562,0.0,0,0.0,0.0,,Ok
0x0001,111,,,,,,,,Err
0x0002,111,578,643,0.0,0,0.0,0.0,,Ok
0x0001,112,,,,,,,,Err
0x0002,112,630,638,0.0,0,0.0,0.0,,Ok
0x0001,113,,,,,,,,Err
0x0002,113,599,564,0.0,0,0.0,0.0,,Ok
0x0001,114,,,,,,,,Err
0x0002,114,619,564,0.0,0,0.0,0.0,,Ok
0x0001,115,,,,,,,,Err
0x0002,115,619,639,0.0,0,0.0,0.0,,Ok
0x0001,116,,,,,,,,Err
0x0002,116,619,640,0.0,0,0.0,0.0,,Ok
0x0001,117,,,,,,,,Err
0x0002,117,612,639,0.0,0,0.0,0.0,,Ok
0x0001,118,,,,,,,,Err
0x0002,118,602,640,0.0,0,0.0,0.0,,Ok
0x0001,119,,,,,,,,Err
0x0002,119,619,568,0.0,0,0.0,0.0,,Ok
0x0001,120,,,,,,,,Err
0x0002,120,587,638,0.0,0,0.0,0.0,,Ok
0x0001,121,,,,,,,,Err
0x0002,121,643,640,0.0,0,0.0,0.0,,Ok
0x0001,122,,,,,,,,Err
0x0002,122,609,562,0.0,0,0.0,0.0,,Ok
0x0001,123,,,,,,,,Err
0x0002,123,619,619,0.0,0,0.0,0.0,,Ok
0x0001,124,,,,,,,,Err
