Addr,Block,CFO_100ppm,D_cm,LAoA_deg,LFoM,LPDoA_deg,RAoA_deg,Session Stopped,Status
0x0001,0,,,,,,,,Err
0x0002,0,707,718,0.0,0,0.0,0.0,,Ok
0x0001,1,,,,,,,,Err
0x0002,1,673,716,0.0,0,0.0,0.0,,Ok
0x0001,2,,,,,,,,Err
0x0002,2,712,721,0.0,0,0.0,0.0,,Ok
0x0001,3,,,,,,,,Err
0x0002,3,508,719,0.0,0,0.0,0.0,,Ok
0x0001,4,,,,,,,,Err
0x0002,4,546,720,0.0,0,0.0,0.0,,Ok
0x0001,5,,,,,,,,Err
0x0002,5,539,717,0.0,0,0.0,0.0,,Ok
0x0001,6,,,,,,,,Err
0x0002,6,534,718,0.0,0,0.0,0.0,,Ok
0x0001,7,,,,,,,,Err
0x0002,7,560,717,0.0,0,0.0,0.0,,Ok
0x0001,8,,,,,,,,Err
0x0002,8,593,719,0.0,0,0.0,0.0,,Ok
0x0001,9,,,,,,,,Err
0x0002,9,607,719,0.0,0,0.0,0.0,,Ok
0x0001,10,,,,,,,,Err
0x0002,10,602,719,0.0,0,0.0,0.0,,Ok
0x0001,11,,,,,,,,Err
0x0002,11,613,714,0.0,0,0.0,0.0,,Ok
0x0001,12,,,,,,,,Err
0x0002,12,600,719,0.0,0,0.0,0.0,,Ok
0x0001,13,,,,,,,,Err
0x0002,13,604,719,0.0,0,0.0,0.0,,Ok
0x0001,14,,,,,,,,Err
0x0002,14,602,696,0.0,0,0.0,0.0,,Ok
0x0001,15,,,,,,,,Err
0x0002,15,606,719,0.0,0,0.0,0.0,,Ok
0x0001,16,,,,,,,,Err
0x0002,16,588,719,0.0,0,0.0,0.0,,Ok
0x0001,17,,,,,,,,Err
0x0002,17,651,721,0.0,0,0.0,0.0,,Ok
0x0001,18,,,,,,,,Err
0x0002,18,602,718,0.0,0,0.0,0.0,,Ok
0x0001,19,,,,,,,,Err
0x0002,19,607,714,0.0,0,0.0,0.0,,Ok
0x0001,20,,,,,,,,Err
0x0002,20,607,713,0.0,0,0.0,0.0,,Ok
0x0001,21,,,,,,,,Err
0x0002,21,597,717,0.0,0,0.0,0.0,,Ok
0x0001,22,,,,,,,,Err
0x0002,22,615,715,0.0,0,0.0,0.0,,Ok
0x0001,23,,,,,,,,Err
0x0002,23,602,717,0.0,0,0.0,0.0,,Ok
