block_index,distance[cm],mac_address,n_measurements,sequence_number,session_handle,status
0,98,0x0001,1,0,1,SUCCESS
2,99,0x0001,1,2,1,SUCCESS
3,97,0x0001,1,3,1,SUCCESS
4,106,0x0001,1,4,1,SUCCESS
5,104,0x0001,1,5,1,SUCCESS
6,107,0x0001,1,6,1,SUCCESS
7,96,0x0001,1,7,1,SUCCESS
8,100,0x0001,1,8,1,SUCCESS
9,98,0x0001,1,9,1,SUCCESS
10,105,0x0001,1,10,1,SUCCESS
11,98,0x0001,1,11,1,SUCCESS
12,107,0x0001,1,12,1,SUCCESS
13,99,0x0001,1,13,1,SUCCESS
14,123,0x0001,1,14,1,SUCCESS
15,103,0x0001,1,15,1,SUCCESS
16,99,0x0001,1,16,1,SUCCESS
17,101,0x0001,1,17,1,SUCCESS
18,95,0x0001,1,18,1,SUCCESS
19,98,0x0001,1,19,1,SUCCESS
20,98,0x0001,1,20,1,SUCCESS
21,105,0x0001,1,21,1,SUCCESS
22,116,0x0001,1,22,1,SUCCESS
23,103,0x0001,1,23,1,SUCCESS
24,95,0x0001,1,24,1,SUCCESS
25,98,0x0001,1,25,1,SUCCESS
26,101,0x0001,1,26,1,SUCCESS
27,98,0x0001,1,27,1,SUCCESS
28,116,0x0001,1,28,1,SUCCESS
29,101,0x0001,1,29,1,SUCCESS
30,100,0x0001,1,30,1,SUCCESS
31,100,0x0001,1,31,1,SUCCESS
32,99,0x0001,1,32,1,SUCCESS
33,109,0x0001,1,33,1,SUCCESS
34,98,0x0001,1,34,1,SUCCESS
35,106,0x0001,1,35,1,SUCCESS
36,97,0x0001,1,36,1,SUCCESS
37,108,0x0001,1,37,1,SUCCESS
38,96,0x0001,1,38,1,SUCCESS
39,108,0x0001,1,39,1,SUCCESS
40,98,0x0001,1,40,1,SUCCESS
41,104,0x0001,1,41,1,SUCCESS
42,107,0x0001,1,42,1,SUCCESS
43,116,0x0001,1,43,1,SUCCESS
44,99,0x0001,1,44,1,SUCCESS
45,92,0x0001,1,45,1,SUCCESS
46,98,0x0001,1,46,1,SUCCESS
47,100,0x0001,1,47,1,SUCCESS
48,107,0x0001,1,48,1,SUCCESS
49,108,0x0001,1,49,1,SUCCESS
50,96,0x0001,1,50,1,SUCCESS
51,95,0x0001,1,51,1,SUCCESS
52,112,0x0001,1,52,1,SUCCESS
53,95,0x0001,1,53,1,SUCCESS
54,117,0x0001,1,54,1,SUCCESS
55,99,0x0001,1,55,1,SUCCESS
56,97,0x0001,1,56,1,SUCCESS
57,106,0x0001,1,57,1,SUCCESS
58,96,0x0001,1,58,1,SUCCESS
59,99,0x0001,1,59,1,SUCCESS
60,97,0x0001,1,60,1,SUCCESS
61,101,0x0001,1,61,1,SUCCESS
62,113,0x0001,1,62,1,SUCCESS
63,97,0x0001,1,63,1,SUCCESS
64,101,0x0001,1,64,1,SUCCESS
65,99,0x0001,1,65,1,SUCCESS
66,96,0x0001,1,66,1,SUCCESS
67,103,0x0001,1,67,1,SUCCESS
68,107,0x0001,1,68,1,SUCCESS
69,103,0x0001,1,69,1,SUCCESS
70,98,0x0001,1,70,1,SUCCESS
71,106,0x0001,1,71,1,SUCCESS
72,107,0x0001,1,72,1,SUCCESS
73,106,0x0001,1,73,1,SUCCESS
74,95,0x0001,1,74,1,SUCCESS
75,98,0x0001,1,75,1,SUCCESS
76,107,0x0001,1,76,1,SUCCESS
77,96,0x0001,1,77,1,SUCCESS
78,99,0x0001,1,78,1,SUCCESS
79,98,0x0001,1,79,1,SUCCESS
80,105,0x0001,1,80,1,SUCCESS
81,96,0x0001,1,81,1,SUCCESS
82,100,0x0001,1,82,1,SUCCESS
83,101,0x0001,1,83,1,SUCCESS
84,103,0x0001,1,84,1,SUCCESS
85,116,0x0001,1,85,1,SUCCESS
86,107,0x0001,1,86,1,SUCCESS
87,105,0x0001,1,87,1,SUCCESS
88,97,0x0001,1,88,1,SUCCESS
89,100,0x0001,1,89,1,SUCCESS
90,101,0x0001,1,90,1,SUCCESS
91,97,0x0001,1,91,1,SUCCESS
92,113,0x0001,1,92,1,SUCCESS
93,97,0x0001,1,93,1,SUCCESS
94,100,0x0001,1,94,1,SUCCESS
95,105,0x0001,1,95,1,SUCCESS
96,96,0x0001,1,96,1,SUCCESS
97,95,0x0001,1,97,1,SUCCESS
98,104,0x0001,1,98,1,SUCCESS
99,101,0x0001,1,99,1,SUCCESS
100,117,0x0001,1,100,1,SUCCESS
101,98,0x0001,1,101,1,SUCCESS
102,99,0x0001,1,102,1,SUCCESS
103,96,0x0001,1,103,1,SUCCESS
104,99,0x0001,1,104,1,SUCCESS
105,97,0x0001,1,105,1,SUCCESS
106,116,0x0001,1,106,1,SUCCESS
107,97,0x0001,1,107,1,SUCCESS
108,99,0x0001,1,108,1,SUCCESS
109,95,0x0001,1,109,1,SUCCESS
110,99,0x0001,1,110,1,SUCCESS
111,109,0x0001,1,111,1,SUCCESS
112,107,0x0001,1,112,1,SUCCESS
113,99,0x0001,1,113,1,SUCCESS
114,104,0x0001,1,114,1,SUCCESS
115,99,0x0001,1,115,1,SUCCESS
116,96,0x0001,1,116,1,SUCCESS
117,107,0x0001,1,117,1,SUCCESS
118,98,0x0001,1,118,1,SUCCESS
119,124,0x0001,1,119,1,SUCCESS
120,104,0x0001,1,120,1,SUCCESS
121,99,0x0001,1,121,1,SUCCESS
122,96,0x0001,1,122,1,SUCCESS
123,94,0x0001,1,123,1,SUCCESS
124,107,0x0001,1,124,1,SUCCESS
125,106,0x0001,1,125,1,SUCCESS
126,96,0x0001,1,126,1,SUCCESS
127,97,0x0001,1,127,1,SUCCESS
128,106,0x0001,1,128,1,SUCCESS
129,117,0x0001,1,129,1,SUCCESS
